Time,CG 1 Volt,CG 2 Volt,CG 3 Volt,CG 4 Volt,CG 5 Volt,CG 6 Volt,CG 7 Volt,CG 8 Volt,CG 9 Volt,CG 10 Volt,CG 11 Volt,CG 12 Volt,CG 13 Volt,CG 14 Volt,CG 15 Volt,CG 16 Volt
1430,3.4663,3.4725,3.4763,3.4712,3.4763,3.4725,3.4775,3.475,3.485,3.4813,3.4863,3.4838,3.4788,3.4788,3.4763,3.4813
1430.2,3.465,3.4725,3.4763,3.4712,3.4788,3.4712,3.4775,3.4737,3.4863,3.4813,3.485,3.485,3.4788,3.4788,3.4775,3.4788
1430.4,3.4663,3.4712,3.4763,3.4712,3.4763,3.4712,3.4763,3.4737,3.4863,3.4813,3.485,3.4838,3.4788,3.4813,3.4788,3.4788
1430.6,3.465,3.47,3.4763,3.4712,3.4775,3.4712,3.4763,3.4737,3.4838,3.4813,3.4838,3.4825,3.48,3.4788,3.4788,3.48
1430.8,3.4675,3.4725,3.4763,3.47,3.4775,3.4712,3.4763,3.475,3.4863,3.4813,3.485,3.4838,3.4763,3.48,3.4775,3.4788
1431,3.4663,3.47,3.4763,3.47,3.4775,3.4712,3.4763,3.4737,3.4863,3.4813,3.4863,3.4838,3.4788,3.4788,3.4775,3.48
1431.2,3.4663,3.4712,3.4763,3.4712,3.4763,3.4725,3.4775,3.475,3.4838,3.4813,3.4838,3.4825,3.4788,3.4788,3.4775,3.4813
1431.4,3.4663,3.4712,3.4763,3.47,3.4763,3.4712,3.4763,3.475,3.4863,3.4813,3.4863,3.4838,3.4775,3.4788,3.4775,3.4788
1431.6,3.465,3.4725,3.4763,3.47,3.4763,3.4725,3.4763,3.475,3.4838,3.4825,3.485,3.4838,3.4788,3.4775,3.4775,3.4813
1431.8,3.4663,3.4712,3.475,3.4712,3.4763,3.4712,3.4763,3.4737,3.485,3.4813,3.485,3.4825,3.4788,3.4788,3.4763,3.4813
1432,3.4663,3.4737,3.4763,3.4712,3.4763,3.4725,3.4763,3.4737,3.4838,3.4825,3.4838,3.4825,3.4788,3.4788,3.4788,3.48
1432.2,3.465,3.4712,3.475,3.47,3.4763,3.4712,3.4763,3.475,3.4825,3.48,3.485,3.4825,3.4788,3.4788,3.4775,3.4825
1432.4,3.4663,3.4712,3.475,3.4712,3.4763,3.4712,3.4775,3.4737,3.4863,3.4825,3.4838,3.4825,3.4788,3.4788,3.4763,3.4788
1432.6,3.4663,3.4725,3.475,3.4712,3.4763,3.4712,3.4763,3.475,3.4838,3.4813,3.4838,3.4838,3.4788,3.4775,3.4775,3.4813
1432.8,3.465,3.4712,3.475,3.47,3.4763,3.4712,3.4763,3.475,3.485,3.48,3.485,3.4825,3.4775,3.4788,3.4763,3.48
1433,3.465,3.4712,3.4763,3.4712,3.4763,3.4725,3.475,3.4737,3.485,3.48,3.485,3.4838,3.4775,3.48,3.4775,3.48
1433.2,3.465,3.4712,3.4763,3.4712,3.4763,3.4712,3.475,3.4737,3.4838,3.4813,3.4838,3.4813,3.48,3.4788,3.4775,3.48
1433.4,3.465,3.47,3.4763,3.47,3.4763,3.4725,3.475,3.4737,3.4838,3.48,3.485,3.4825,3.4775,3.4788,3.4775,3.48
1433.6,3.465,3.47,3.4763,3.47,3.4763,3.4725,3.4763,3.4737,3.4838,3.4825,3.4838,3.4838,3.4788,3.4788,3.4775,3.48
1433.8,3.465,3.4712,3.4763,3.4712,3.4763,3.4725,3.4763,3.475,3.4863,3.4825,3.4825,3.485,3.4788,3.4775,3.4775,3.48
1434,3.465,3.4725,3.475,3.47,3.4763,3.4725,3.4775,3.475,3.4838,3.4813,3.4838,3.4813,3.4788,3.48,3.4763,3.4788
1434.2,3.465,3.4712,3.475,3.47,3.4763,3.4712,3.4775,3.4737,3.4825,3.4825,3.4825,3.4825,3.4788,3.4775,3.4775,3.48
1434.4,3.465,3.47,3.475,3.4712,3.4763,3.4712,3.4763,3.4737,3.485,3.4813,3.485,3.4813,3.4775,3.48,3.4775,3.4788
1434.6,3.4663,3.4712,3.475,3.47,3.4763,3.4712,3.4763,3.4737,3.4838,3.4825,3.4838,3.4838,3.48,3.4788,3.4788,3.48
1434.8,3.465,3.4712,3.475,3.47,3.4763,3.4712,3.4763,3.4737,3.485,3.4825,3.4825,3.4838,3.48,3.4788,3.4775,3.48
1435,3.465,3.4712,3.475,3.4712,3.4763,3.4725,3.4763,3.4725,3.4863,3.4813,3.485,3.4825,3.4775,3.4775,3.4775,3.4788
1435.2,3.4663,3.4712,3.475,3.4712,3.4763,3.4725,3.4775,3.4737,3.4838,3.4825,3.4838,3.4825,3.4788,3.4775,3.4775,3.48
1435.4,3.465,3.4712,3.475,3.4712,3.4763,3.4737,3.4775,3.4725,3.4863,3.4825,3.4838,3.485,3.4788,3.4788,3.4775,3.48
